timestamp,frame_number,time_seconds,object_class,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width,bbox_height,bbox_center_x,bbox_center_y
2025-10-09 14:43:28,9,0.31,traffic light,0.627,689.2,142.8,707.3,179.0,18.2,36.2,698.3,160.9
2025-10-09 14:43:28,9,0.31,person,0.582,822.5,234.7,840.9,295.4,18.5,60.7,831.7,265.0
2025-10-09 14:43:28,9,0.31,car,0.566,339.8,225.4,397.7,305.9,57.9,80.5,368.7,265.7
2025-10-09 14:43:28,9,0.31,car,0.564,131.7,236.2,283.1,303.5,151.3,67.3,207.4,269.8
2025-10-09 14:43:28,9,0.31,person,0.554,790.9,239.4,809.1,294.1,18.1,54.7,800.0,266.7
2025-10-09 14:43:28,9,0.31,person,0.55,753.8,232.9,773.9,290.8,20.2,57.9,763.9,261.9
2025-10-09 14:43:28,9,0.31,car,0.548,132.3,238.3,223.7,302.6,91.3,64.3,178.0,270.5
2025-10-09 14:43:28,10,0.34,car,0.913,164.7,237.6,372.2,343.7,207.5,106.1,268.5,290.7
2025-10-09 14:43:28,10,0.34,car,0.883,0.0,226.6,111.7,331.6,111.7,105.0,55.9,279.1
2025-10-09 14:43:28,10,0.34,car,0.828,465.0,246.9,561.4,306.0,96.5,59.1,513.2,276.4
2025-10-09 14:43:28,10,0.34,car,0.773,551.2,247.4,618.9,301.0,67.6,53.6,585.1,274.2
2025-10-09 14:43:28,10,0.34,car,0.742,613.7,256.5,671.3,298.2,57.6,41.7,642.5,277.4
2025-10-09 14:43:28,10,0.34,car,0.697,391.3,248.9,450.5,294.7,59.2,45.8,420.9,271.8
2025-10-09 14:43:28,10,0.34,car,0.693,288.9,222.8,395.9,304.7,106.9,81.9,342.4,263.8
2025-10-09 14:43:28,10,0.34,car,0.674,434.4,246.6,499.4,297.8,65.0,51.2,466.9,272.2
2025-10-09 14:43:28,10,0.34,car,0.672,125.9,239.5,210.7,303.2,84.8,63.7,168.3,271.4
2025-10-09 14:43:28,10,0.34,traffic light,0.625,689.2,142.8,707.4,179.1,18.2,36.2,698.3,160.9
2025-10-09 14:43:28,10,0.34,person,0.593,822.4,234.1,841.0,295.5,18.6,61.3,831.7,264.8
2025-10-09 14:43:28,10,0.34,person,0.567,753.8,233.2,773.9,290.7,20.1,57.5,763.9,261.9
2025-10-09 14:43:28,10,0.34,person,0.557,791.1,239.1,809.1,294.1,17.9,55.1,800.1,266.6
2025-10-09 14:43:28,11,0.38,car,0.92,158.2,238.2,369.4,344.1,211.2,106.0,263.8,291.1
2025-10-09 14:43:28,11,0.38,car,0.882,0.0,226.7,105.6,331.1,105.6,104.5,52.8,278.9
2025-10-09 14:43:28,11,0.38,car,0.825,464.4,246.7,561.3,306.1,96.9,59.4,512.9,276.4
2025-10-09 14:43:28,11,0.38,car,0.792,551.0,247.4,618.4,301.0,67.4,53.6,584.7,274.2
